Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
89000,2.114505,21.346938775510203,-1.3185493,-3.6901838893586016,-3.6901838893586016,1.0
90000,2.1153247,24.128205128205128,-1.246448,-3.9273136592492826,-3.9273136592492826,1.0
91000,2.119915,19.4,-1.3844055,-4.073070253644671,-4.073070253644671,1.0
92000,2.1091592,23.55,-1.3433366,-4.094958087801933,-4.094958087801933,1.0
93000,2.1127214,19.66,-1.3079281,-3.5147132338309777,-3.5147132338309777,1.0
94000,2.109777,19.658536585365855,-1.5519996,-3.75538117386574,-3.75538117386574,1.0
95000,2.116845,19.19607843137255,-1.5029464,-3.7141722513704885,-3.7141722513704885,1.0
96000,2.117863,21.38095238095238,-1.4758192,-3.790051753928022,-3.790051753928022,1.0
97000,2.110603,19.704545454545453,-1.4549118,-4.082221331861284,-4.082221331861284,1.0
98000,2.1125422,18.93617021276596,-1.4552621,-3.7761492221913437,-3.7761492221913437,1.0
99000,2.1190577,19.5,-1.4842675,-3.927533346414566,-3.927533346414566,1.0
100000,2.1226664,25.29268292682927,-1.4661567,-4.135942546332755,-4.135942546332755,1.0
101000,2.1241217,21.674418604651162,-1.4327022,-4.196369688685348,-4.196369688685348,1.0
102000,2.118371,19.02173913043478,-1.441425,-4.108859082926875,-4.108859082926875,1.0
103000,2.113285,19.522727272727273,-1.4436423,-3.808206566002058,-3.808206566002058,1.0
104000,2.108568,21.456521739130434,-1.74,-3.866014219993769,-3.866014219993769,1.0
105000,2.1132095,18.41860465116279,-1.6570201,-3.645450231821641,-3.645450231821641,1.0
106000,2.1045935,21.547619047619047,-1.7243836,-4.271445072832561,-4.271445072832561,1.0
107000,2.10304,19.5,-1.7589505,-3.828290860827376,-3.828290860827376,1.0
108000,2.1043484,17.930232558139537,-1.6786406,-3.4284418571827024,-3.4284418571827024,1.0
109000,2.1087065,47.97727272727273,-1.6203822,-3.5387544486257765,-3.5387544486257765,1.0
110000,2.1145613,18.755102040816325,-1.7552121,-4.222779525087235,-4.222779525087235,1.0
111000,2.103464,22.25,-1.7328798,-3.7834682517581517,-3.7834682517581517,1.0
112000,2.1127892,21.97826086956522,-1.6457148,-3.7972766662185844,-3.7972766662185844,1.0
113000,2.1093972,22.775,-1.7262074,-4.305626135925914,-4.305626135925914,1.0
114000,2.1011355,18.84,-1.9587041,-3.8432472025354705,-3.8432472025354705,1.0
115000,2.1018927,20.53191489361702,-1.9169114,-3.376440337726048,-3.376440337726048,1.0
116000,2.0965755,22.738095238095237,-1.8713199,-4.119463267780485,-4.119463267780485,1.0
117000,2.09787,23.2,-1.8692126,-4.239296244411934,-4.239296244411934,1.0
118000,2.0925696,28.4,-1.5517901,-3.4239147146542868,-3.4239147146542868,1.0
119000,2.0959601,20.377777777777776,-1.9109446,-3.621360905626987,-3.621360905626987,1.0
120000,2.0898423,20.5,-1.9111965,-4.012142877687108,-4.012142877687108,1.0
121000,2.0941947,23.357142857142858,-1.7786348,-3.5183699214181234,-3.5183699214181234,1.0
122000,2.1011806,22.58695652173913,-1.8100739,-3.890079310599794,-3.890079310599794,1.0
123000,2.0910268,22.717391304347824,-1.8818998,-4.264027443043021,-4.264027443043021,1.0
124000,2.0848625,18.58974358974359,-2.0401933,-4.175838618051438,-4.175838618051438,1.0
125000,2.0820606,25.953488372093023,-1.960233,-4.068932392248294,-4.068932392248294,1.0
126000,2.0762417,20.377777777777776,-2.0086348,-3.7762359634358833,-3.7762359634358833,1.0
127000,2.0751653,22.790697674418606,-2.0137422,-4.29780852226984,-4.29780852226984,1.0
128000,2.0764096,20.108695652173914,-2.0590005,-4.007392700513204,-4.007392700513204,1.0
129000,2.0779526,23.0,-2.008492,-4.574723958969116,-4.574723958969116,1.0
130000,2.0845842,20.203703703703702,-2.136648,-3.8918419021826525,-3.8918419021826525,1.0
131000,2.086254,22.547619047619047,-2.0942416,-4.272279478254772,-4.272279478254772,1.0
132000,2.0835173,18.906976744186046,-2.0756469,-4.1066812601956455,-4.1066812601956455,1.0
133000,2.0897646,24.272727272727273,-2.0144875,-4.321135300965536,-4.321135300965536,1.0
134000,2.0914688,21.804878048780488,-2.1721091,-4.021699373017658,-4.021699373017658,1.0
135000,2.0822504,21.46,-2.2608528,-4.169081278303836,-4.169081278303836,1.0
136000,2.0763566,23.125,-2.2072182,-3.7971356425966536,-3.7971356425966536,1.0
137000,2.073375,20.627906976744185,-2.168119,-3.9706806249396744,-3.9706806249396744,1.0
138000,2.0806618,22.558139534883722,-2.266643,-4.131901702215505,-4.131901702215505,1.0
139000,2.070516,21.791666666666668,-2.2376893,-4.197766915611599,-4.197766915611599,1.0
